,VehId,subtrajetoria,pares,grid_origem,grid_final,turno,Quantidade de Rotas Contadas,Quantidade de Rotas Contadas - Turno
1204,367,367_subtraj_75,29339_20908,29339,20908,Early morning,2,2
1205,367,367_subtraj_79,33337_20908,33337,20908,Evening,2,1
1206,367,367_subtraj_83,26203_20908,26203,20908,Evening,3,1
1207,367,367_subtraj_84,36097_20908,36097,20908,Afternoon,2,1
1208,367,367_subtraj_87,39347_33337,39347,33337,Afternoon,3,2
1209,367,367_subtraj_90,31691_39741,31691,39741,Evening,2,2
1210,367,367_subtraj_91,27776_20908,27776,20908,Morning,3,2
1211,371,371_subtraj_101,78354_64044,78354,64044,Morning,6,2
1212,371,371_subtraj_104,50748_75364,50748,75364,Morning,2,1
1213,371,371_subtraj_109,75364_51150,75364,51150,Early morning,2,2
1214,371,371_subtraj_114,78354_51573,78354,51573,Morning,2,1
1215,371,371_subtraj_115,51573_78354,51573,78354,Afternoon,3,1
1216,371,371_subtraj_116,75364_50746,75364,50746,Afternoon,7,2
1217,371,371_subtraj_118,75363_50746,75363,50746,Afternoon,4,1
1218,371,371_subtraj_119,75363_51972,75363,51972,Morning,10,4
1219,371,371_subtraj_120,78354_46236,78354,46236,Afternoon,2,1
1220,371,371_subtraj_121,75364_50739,75364,50739,Evening,4,2
1221,371,371_subtraj_123,78354_77928,78354,77928,Evening,2,1
1222,371,371_subtraj_124,75364_50746,75364,50746,Afternoon,7,2
1223,371,371_subtraj_126,78354_51574,78354,51574,Evening,6,4
1224,371,371_subtraj_127,57359_78354,57359,78354,Evening,2,1
1225,371,371_subtraj_128,78354_67360,78354,67360,Afternoon,6,3
1226,371,371_subtraj_132,78354_69505,78354,69505,Afternoon,2,1
1227,371,371_subtraj_135,64044_78354,64044,78354,Morning,4,1
1228,371,371_subtraj_136,78354_50746,78354,50746,Early morning,3,2
1229,371,371_subtraj_144,75364_51978,75364,51978,Afternoon,5,2
1230,371,371_subtraj_145,75364_51972,75364,51972,Afternoon,13,3
1231,371,371_subtraj_148,49923_77928,49923,77928,Evening,2,1
1232,371,371_subtraj_151,78354_77928,78354,77928,Afternoon,2,1
1233,371,371_subtraj_156,68190_51972,68190,51972,Early morning,2,1
1234,371,371_subtraj_157,78354_64462,78354,64462,Afternoon,3,2
1235,371,371_subtraj_158,57358_77928,57358,77928,Afternoon,3,2
1236,371,371_subtraj_161,64044_78354,64044,78354,Evening,4,2
1237,371,371_subtraj_162,75364_50739,75364,50739,Afternoon,4,2
1238,371,371_subtraj_163,75364_51972,75364,51972,Early morning,13,8
1239,371,371_subtraj_165,66940_78354,66940,78354,Early morning,3,2
1240,371,371_subtraj_168,45012_78354,45012,78354,Morning,2,2
1241,371,371_subtraj_170,51972_75364,51972,75364,Afternoon,3,1
1242,371,371_subtraj_172,51163_78354,51163,78354,Afternoon,11,5
1243,371,371_subtraj_174,64462_78354,64462,78354,Early morning,4,2
1244,371,371_subtraj_18,51573_78354,51573,78354,Evening,3,1
1245,371,371_subtraj_182,64044_78354,64044,78354,Evening,4,2
1246,371,371_subtraj_183,51163_78354,51163,78354,Afternoon,11,5
1247,371,371_subtraj_184,78354_45012,78354,45012,Evening,4,1
1248,371,371_subtraj_185,78354_49923,78354,49923,Morning,2,2
1249,371,371_subtraj_189,64462_78354,64462,78354,Evening,4,1
1250,371,371_subtraj_19,78354_51573,78354,51573,Early morning,2,1
1251,371,371_subtraj_192,50747_78354,50747,78354,Early morning,2,1
1252,371,371_subtraj_194,68170_78354,68170,78354,Early morning,2,1
1253,371,371_subtraj_195,75363_78354,75363,78354,Morning,3,1
1254,371,371_subtraj_198,51163_78354,51163,78354,Afternoon,11,5
1255,371,371_subtraj_199,75364_51972,75364,51972,Early morning,13,8
1256,371,371_subtraj_2,51163_77928,51163,77928,Early morning,2,1
1257,371,371_subtraj_20,51573_78354,51573,78354,Morning,3,1
1258,371,371_subtraj_201,49923_77928,49923,77928,Early morning,2,1
1259,371,371_subtraj_203,66940_78354,66940,78354,Evening,3,1
1260,371,371_subtraj_204,46242_78354,46242,78354,Early morning,2,1
1261,371,371_subtraj_206,49923_78354,49923,78354,Morning,2,1
1262,371,371_subtraj_207,64044_78354,64044,78354,Early morning,4,1
1263,371,371_subtraj_210,50747_78354,50747,78354,Evening,2,1
1264,371,371_subtraj_213,78354_64044,78354,64044,Afternoon,6,2
1265,371,371_subtraj_214,75364_51972,75364,51972,Evening,13,2
1266,371,371_subtraj_215,75364_51972,75364,51972,Early morning,13,8
1267,371,371_subtraj_218,78354_66071,78354,66071,Early morning,2,1
1268,371,371_subtraj_219,57358_78354,57358,78354,Afternoon,7,3
1269,371,371_subtraj_220,51163_78354,51163,78354,Evening,11,1
1270,371,371_subtraj_221,78354_64044,78354,64044,Early morning,6,2
1271,371,371_subtraj_222,49933_78354,49933,78354,Morning,2,1
1272,371,371_subtraj_224,46242_78354,46242,78354,Evening,2,1
1273,371,371_subtraj_226,51972_75364,51972,75364,Morning,3,1
1274,371,371_subtraj_227,78354_49925,78354,49925,Evening,2,1
1275,371,371_subtraj_23,75364_51978,75364,51978,Evening,5,2
1276,371,371_subtraj_230,64462_78354,64462,78354,Early morning,4,2
1277,371,371_subtraj_232,78354_68170,78354,68170,Afternoon,2,2
1278,371,371_subtraj_233,49933_78354,49933,78354,Evening,2,1
1279,371,371_subtraj_236,57358_78354,57358,78354,Evening,7,2
1280,371,371_subtraj_239,75364_51978,75364,51978,Afternoon,5,2
1281,371,371_subtraj_24,51163_78354,51163,78354,Afternoon,11,5
1282,371,371_subtraj_243,78354_49924,78354,49924,Afternoon,2,1
1283,371,371_subtraj_245,47463_78354,47463,78354,Early morning,2,1
1284,371,371_subtraj_247,51163_78354,51163,78354,Morning,11,3
1285,371,371_subtraj_249,75363_49924,75363,49924,Evening,2,1
1286,371,371_subtraj_251,51163_78354,51163,78354,Afternoon,11,5
1287,371,371_subtraj_256,78354_62308,78354,62308,Morning,3,2
1288,371,371_subtraj_258,75363_51972,75363,51972,Evening,10,3
1289,371,371_subtraj_26,64034_78354,64034,78354,Afternoon,2,1
1290,371,371_subtraj_264,57358_78354,57358,78354,Evening,7,2
1291,371,371_subtraj_266,61891_78354,61891,78354,Early morning,4,1
1292,371,371_subtraj_267,75364_51972,75364,51972,Early morning,13,8
1293,371,371_subtraj_269,53200_48209,53200,48209,Morning,2,1
1294,371,371_subtraj_270,78354_50746,78354,50746,Evening,3,1
1295,371,371_subtraj_271,51574_78354,51574,78354,Evening,2,1
1296,371,371_subtraj_272,78354_50746,78354,50746,Early morning,3,2
1297,371,371_subtraj_273,75363_50746,75363,50746,Early morning,4,1
1298,371,371_subtraj_274,75364_50746,75364,50746,Morning,7,2
1299,371,371_subtraj_279,78354_64462,78354,64462,Afternoon,3,2
1300,371,371_subtraj_280,75363_51972,75363,51972,Evening,10,3
1301,371,371_subtraj_289,75364_50746,75364,50746,Evening,7,1
1302,371,371_subtraj_29,57358_77928,57358,77928,Early morning,3,1
1303,371,371_subtraj_290,75364_51150,75364,51150,Early morning,2,2
1304,371,371_subtraj_293,57358_77928,57358,77928,Afternoon,3,2
1305,371,371_subtraj_294,78354_45012,78354,45012,Morning,4,2
1306,371,371_subtraj_295,45012_78354,45012,78354,Morning,2,2
1307,371,371_subtraj_296,78354_49926,78354,49926,Evening,2,2
1308,371,371_subtraj_297,64044_77928,64044,77928,Early morning,2,1
1309,371,371_subtraj_299,51163_78354,51163,78354,Morning,11,3
